type,id,action,message,ack,direction,description

auth,login,Login,A|REQ|loginData+,A|A,Client,Sent to authenticate user
auth,invalidlogin,Invalid Login,A|E|INVALID_AUTH_DATA|unknown user+,,Server,Recieved if login fails
auth,toomanyauthattempts,Too many login attempts,A|E|TOO_MANY_AUTH_ATTEMPTS+,,Server,Recieved if login fails more than the maximum allowed attempts and closes the client connection
auth,invalidmessage,Invalid Message,X|E|INVALID_MESSAGE_DATA|invalidMessage+,,,
auth,unknownaction,Unknown Action,X|E|UNKNOWN_ACTION|unknown action actionName+,,,

event,listen,Listen,E|L|event\/.*+,E|A|L|event\/.*+,Client,Send when listening to event matching regex
event,unlisten,Unlisten,E|UL|event\/.*+,E|A|UL|event\/.*+,Client,Send when no longer interested in listening to event
event,subscribe,Susbcribe,E|S|eventName+,E|A|S|eventName+,Client,Send to subscribe to event
event,unsubscribe,Unsubscribe,E|US|eventName+,E|A|US|eventName+,Client,Send to unsubscribe to event
event,publish,Publish,E|EVT|eventName|JSON+,E|A|EVT|eventName+,Client/Server,Recieved/Sent when an event occurs
event,listenmatch,Listen Match,E|SP|event\/.*|event/A+,,Server,Recieved when a listened to regex is matched
event,invalidmessage,Invalid Message,E|E|INVALID_MESSAGE_DATA|invalidMessage+,,,
event,unknownaction,Unknown Action,E|E|UNKNOWN_ACTION|unknown action actionName+,,,

record,listen,Listen,R|L|recordPrefix\/.*+,R|A|L|recordPrefix\/.*+,Client,
record,unlisten,Unlisten,R|UL|recordPrefix\/.*+,R|A|UL|recordPrefix\/.*+,Client,
record,listenmatch,Listen Match,R|SP|recordPrefix\/.*|/A+,,Server,Recieved when a listened to regex is matched
record,create,Read/Create,R|CR|recordName+,R|A|CR|recordName+,Client,
record,update,Update Entire Record,R|U|recordName|versionNumber|JSON+,R|A|U|recordName+,Client,
record,patch,Patch Record,R|P|recordName|versionNumber|path|value+,R|A|P|recordName+,Client,
record,delete,Delete Record,R|D|recordName+,R|A|D|recordName+,Client,
record,recieveupdate,Receive Record Update,R|R|recordName|versionNumber|JSON,,Client,
record,invalidmessage,Invalid Message,R|E|INVALID_MESSAGE_DATA|invalidMessage+,,,
record,unknownaction,Unknown Action,R|E|UNKNOWN_ACTION|unknown action actionName+,,,

rpc,register,Register as provider,P|S|rpcName+,P|A|S|rpcName+,Client,Sent when client can recieve RPC events
rpc,unregister,Unregister as provider,P|US|rpcName+,P|A|US|rpcName+,Client,Sent when client no longer wishes to recieve RPC events
rpc,send,Send RPC request,P|REQ|rpcName|rpcID|Arguments+,P|A|REQ|rpcName|rpcID+,Client/Server,Send/Recieve when RPC requested
rpc,reject,Reject RPC request,P|REJ|rpcName|rpcID+,,Client,Send if client does not want to execute RPC
rpc,error,Error RPC request,P|E|ErrorMessage|rpcName|123+,,Send if error occurs during execution,
rpc,success,Respond to RPC request,P|RES|rpcName|rpcID|Result+,,Send if error occurs when trying to execute rpc,
rpc,invalidmessage,Invalid Message,P|E|INVALID_MESSAGE_DATA|invalidMessage+,,,
rpc,unknownaction,Unknown Action,P|E|UNKNOWN_ACTION|unknown action actionName+,,,

webRTC,listen,Listen to callee changes,W|LC+,W|A|LC+,,
webRTC,unlisten,Unlisten to callee changes,W|ULC+,W|A|ULC+,,
webRTC,register,Register callee,W|RC|calleeA+,W|A|RC|calleeA+,,
webRTC,unregister,Unregister callee,W|URC|calleeA+,W|A|URC|calleeA+,,
webRTC,make,Make call,"W|OF|O{sdp:sdp,type:type,meta:metaData}+",,,
webRTC,accept,Accept call,-,,,
webRTC,decline,Decline call,W|CD|localId|remoteId|reason+,,,
webRTC,end,End Call,W|CE|localId|remoteId|null+,,,
webRTC,calleelist,Initial callee list update received,W|WAC|calleeA|calleeB|calleeC+,,,
webRTC,calleeadded,Callee added message received,W|WCA|calleeName+,,,
webRTC,calleeremoved,Callee removed message received,W|WCR|calleeName+,,,
webRTC,invalidmessage,Invalid Message,W|E|INVALID_MESSAGE_DATA|invalidMessage+,,,
webRTC,unknownaction,Unknown Action,W|E|UNKNOWN_ACTION|unknown action actionName+,,,
